block,trial_number,auditory_stimulus,left_image,right_image,target_label,left_video,right_video,target_side,correct_response,playing_side,background,trial_type
6,28,check_out,fireworks_left,fireworks_right,AG,,,right,1,,black-background,LWL
6,27,apple_find,ball03,apple01,apple,,,left,0,,black-background,LWL
6,26,ball_where,ball01,crayon03,ball,,,right,1,,black-background,LWL
6,25,toothbrush_look,toothbrush01,apple03,toothbrush,,,right,1,,black-background,LWL
6,24,crayon_look,toothbrush03,crayon01,crayon,,,left,0,,black-background,LWL
5,23,crayon_find,crayon03,apple02,crayon,,,right,1,,black-background,LWL
5,22,ball_where,ball03,toothbrush02,ball,,,right,1,,black-background,LWL
5,21,apple_look,crayon02,apple03,apple,,,left,0,,black-background,LWL
5,20,toothbrush_where,ball02,toothbrush03,toothbrush,,,left,0,,black-background,LWL
4,19,check_out,ocean_left,ocean_right,AG,,,left,0,,black-background,LWL
4,18,toothbrush_find,toothbrush02,crayon01,toothbrush,,,right,1,,black-background,LWL
4,17,ball_where,apple01,ball02,ball,,,left,0,,black-background,LWL
4,16,crayon_look,crayon02,ball01,crayon,,,right,1,,black-background,LWL
4,15,apple_find,toothbrush01,apple02,apple,,,left,0,,black-background,LWL
3,14,apple_where,apple01,ball03,apple,,,right,1,,black-background,LWL
3,13,ball_look,crayon03,ball01,ball,,,left,0,,black-background,LWL
3,12,toothbrush_look,apple03,toothbrush01,toothbrush,,,left,0,,black-background,LWL
3,11,crayon_find,crayon01,toothbrush03,crayon,,,right,1,,black-background,LWL
2,10,check_out,beach_left,beach_right,AG,,,right,1,,black-background,LWL
2,9,crayon_find,apple02,crayon03,crayon,,,left,0,,black-background,LWL
2,8,ball_where,toothbrush02,ball03,ball,,,left,0,,black-background,LWL
2,7,apple_find,apple03,crayon02,apple,,,right,1,,black-background,LWL
2,6,toothbrush_look,toothbrush03,ball02,toothbrush,,,right,1,,black-background,LWL
1,5,toothbrush_where,crayon01,toothbrush02,toothbrush,,,left,0,,black-background,LWL
1,4,ball_where,ball02,apple01,ball,,,right,1,,black-background,LWL
1,3,crayon_find,ball01,crayon02,crayon,,,left,0,,black-background,LWL
1,2,apple_look,apple02,toothbrush01,apple,,,right,1,,black-background,LWL
1,1,check_out,balloons_left,balloons_right,AG,,,left,0,,black-background,LWL
7,83,yellow_55dB013,,,,Kaleidoscope6,Kaleidoscope6,,,both,black-background,PLP
7,82,silence,,,,,,,,,black-background,ITI
9,81,acrossTheUniverse_55dB004,,,,ball_typical,ball_atypical,left,0,left,black-background,PLP
9,80,acrossTheUniverse_55dB004,,,,ball_typical,ball_atypical,right,0,right,black-background,PLP
9,79,acrossTheUniverse_55dB004,,,,ball_typical,ball_atypical,left,0,both,black-background,PLP
9,78,silence,,,,,,,,,black-background,ITI
9,77,yellow_55dB009,,,,toothbrush_typical,toothbrush_atypical,right,0,right,black-background,PLP
9,76,yellow_55dB009,,,,toothbrush_typical,toothbrush_atypical,left,0,left,black-background,PLP
9,75,yellow_55dB009,,,,toothbrush_typical,toothbrush_atypical,left,0,both,black-background,PLP
9,74,silence,,,,,,,,,black-background,ITI
9,73,acrossTheUniverse_55dB000,,,,crayon_typical,crayon_atypical,right,0,right,black-background,PLP
9,72,acrossTheUniverse_55dB000,,,,crayon_typical,crayon_atypical,left,0,left,black-background,PLP
9,71,acrossTheUniverse_55dB000,,,,crayon_typical,crayon_atypical,left,0,both,black-background,PLP
9,70,silence,,,,,,,,,black-background,ITI
9,69,yellow_55dB000,,,,apple_typical,apple_atypical,left,0,left,black-background,PLP
9,68,yellow_55dB000,,,,apple_typical,apple_atypical,right,0,right,black-background,PLP
9,67,yellow_55dB000,,,,apple_typical,apple_atypical,left,0,both,black-background,PLP
9,66,silence,,,,,,,,,black-background,ITI
9,65,acrossTheUniverse_55dB028,,,,Drops6,Drops6,,,both,black-background,PLP
8,64,silence,,,,,,,,,black-background,ITI
8,63,yellow_55dB026,,,,toothbrush_typical,toothbrush_atypical,right,0,right,black-background,PLP
8,62,yellow_55dB026,,,,toothbrush_typical,toothbrush_atypical,left,0,left,black-background,PLP
8,61,yellow_55dB026,,,,toothbrush_typical,toothbrush_atypical,left,0,both,black-background,PLP
8,60,silence,,,,,,,,,black-background,ITI
8,59,acrossTheUniverse_55dB016,,,,ball_typical,ball_atypical,left,0,left,black-background,PLP
8,58,acrossTheUniverse_55dB016,,,,ball_typical,ball_atypical,right,0,right,black-background,PLP
8,57,acrossTheUniverse_55dB016,,,,ball_typical,ball_atypical,left,0,both,black-background,PLP
8,56,silence,,,,,,,,,black-background,ITI
8,55,yellow_55dB017,,,,apple_typical,apple_atypical,left,0,left,black-background,PLP
8,54,yellow_55dB017,,,,apple_typical,apple_atypical,right,0,right,black-background,PLP
8,53,yellow_55dB017,,,,apple_typical,apple_atypical,left,0,both,black-background,PLP
8,52,silence,,,,,,,,,black-background,ITI
8,51,acrossTheUniverse_55dB011,,,,crayon_typical,crayon_atypical,right,0,right,black-background,PLP
8,50,acrossTheUniverse_55dB011,,,,crayon_typical,crayon_atypical,left,0,left,black-background,PLP
8,49,acrossTheUniverse_55dB011,,,,crayon_typical,crayon_atypical,left,0,both,black-background,PLP
8,48,silence,,,,,,,,,black-background,ITI
8,47,yellow_55dB013,,,,Bubbles6,Bubbles6,,,both,black-background,PLP
7,46,silence,,,,,,,,,black-background,ITI
7,45,acrossTheUniverse_55dB008,,,,apple_typical,apple_atypical,right,0,right,black-background,PLP
7,44,acrossTheUniverse_55dB008,,,,apple_typical,apple_atypical,left,0,left,black-background,PLP
7,43,acrossTheUniverse_55dB008,,,,apple_typical,apple_atypical,left,0,both,black-background,PLP
7,42,silence,,,,,,,,,black-background,ITI
7,41,yellow_55dB009,,,,crayon_typical,crayon_atypical,left,0,left,black-background,PLP
7,40,yellow_55dB009,,,,crayon_typical,crayon_atypical,right,0,right,black-background,PLP
7,39,yellow_55dB009,,,,crayon_typical,crayon_atypical,left,0,both,black-background,PLP
7,38,silence,,,,,,,,,black-background,ITI
7,37,acrossTheUniverse_55dB004,,,,toothbrush_typical,toothbrush_atypical,right,0,right,black-background,PLP
7,36,acrossTheUniverse_55dB004,,,,toothbrush_typical,toothbrush_atypical,left,0,left,black-background,PLP
7,35,acrossTheUniverse_55dB004,,,,toothbrush_typical,toothbrush_atypical,left,0,both,black-background,PLP
7,34,silence,,,,,,,,,black-background,ITI
7,33,yellow_55dB000,,,,ball_typical,ball_atypical,left,0,left,black-background,PLP
7,32,yellow_55dB000,,,,ball_typical,ball_atypical,right,0,right,black-background,PLP
7,31,yellow_55dB000,,,,ball_typical,ball_atypical,left,0,both,black-background,PLP