block,trial_number,auditory_stimulus,left_video,right_video,target_side,correct_response,background,side1
1,1,acrossTheUniverse_70dB000,toothbrush_atypical,toothbrush_typical,left,0,black-background,right
1,2,acrossTheUniverse_70dB001,crayon_atypical,crayon_typical,left,0,black-background,left
1,3,acrossTheUniverse_70dB002,ball_typical,ball_atypical,right,1,black-background,right
1,4,acrossTheUniverse_70dB003,apple_typical,apple_atypical,right,1,black-background,left
1,5,acrossTheUniverse_70dB004,Bubbles6,Bubbles6,left,0,black-background,right
2,6,yellow_70dB000,crayon_atypical,crayon_typical,left,0,black-background,left
2,7,yellow_70dB001,ball_typical,ball_atypical,right,1,black-background,right
2,8,yellow_70dB002,apple_typical,apple_atypical,right,1,black-background,left
2,9,yellow_70dB003,toothbrush_atypical,toothbrush_typical,left,0,black-background,right
2,10,yellow_70dB004,Kaleidoscope6,Kaleidoscope6,right,1,black-background,left
3,11,acrossTheUniverse_70dB005,apple_atypical,apple_typical,left,0,black-background,right
3,12,acrossTheUniverse_70dB006,toothbrush_typical,toothbrush_atypical,right,1,black-background,left
3,13,acrossTheUniverse_70dB007,crayon_typical,crayon_atypical,right,1,black-background,right
3,14,acrossTheUniverse_70dB008,ball_atypical,ball_typical,left,0,black-background,left
3,15,acrossTheUniverse_70dB009,Drops6,Drops6,right,1,black-background,right
4,16,yellow_70dB005,apple_atypical,apple_typical,left,0,black-background,left
4,17,yellow_70dB006,ball_atypical,ball_typical,left,0,black-background,right
4,18,yellow_70dB007,toothbrush_typical,toothbrush_atypical,right,1,black-background,left
4,19,yellow_70dB008,crayon_typical,crayon_atypical,right,1,black-background,right
4,20,yellow_70dB009,Planets6,Planets6,left,0,black-background,left